id,label,name,boost
activity:b7433ea8,Activity,David Livingstone Müzesi,1.0
activity:dfc6ead3,Activity,Franschhoek Şarap Bağları ve Galeriler,1.0
activity:6e9bd3b0,Activity,Huguenot Anıt Müzesi,1.0
activity:b33238f1,Activity,Franschhoek Motor Müzesi,1.0
activity:250b4ff4,Activity,Güney Afrika'nın İlk Parfüm Müzesi,1.0
activity:a0af9277,Activity,Masa Dağı,1.0
activity:6f2f151e,Activity,Kirstenbosch Ulusal Botanik Bahçesi,1.0
activity:ce78b09d,Activity,Boulders Beach Penguen Kolonisi,1.0
activity:a180db12,Activity,Cape Town Şehir Gezisi,1.0
activity:608cad13,Activity,Two Oceans Aquarium,1.0
activity:6cdcf22b,Activity,Camps Bay ve Clifton Beach,1.0
activity:a0ce0ada,Activity,Zeitz Museum of Contemporary Art Africa,1.0
activity:2abd46b7,Activity,Güney Afrika Ulusal Müzesi (İziko),1.0
activity:cd93b24c,Activity,Planetarium,1.0
activity:58d9ea33,Activity,Cape Town Graffiti Street Art Turu,1.0
restaurant:3cc37ca3,Restaurant,The Lookout Cafe,1.0
trip:0e18fbdd,Trip,JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,1.0
city:ef0cc10f,City,Tokyo,1.0
city:e2163ac5,City,Okayama,1.0
city:e27d6ba3,City,Kyoto,1.0
city:746b6431,City,Naoshima,1.0
city:97b43156,City,Teshima,1.0
country:e75811bf,Country,Japonya,1.0
hotel:eb6451eb,Hotel,Mitsui Garden Hotel Premier Jingu-Gaien,1.0
hotel:745c3f84,Hotel,Uno Hotel,1.0
hotel:8254ce12,Hotel,ACE Hotel Kyoto,1.0
activity:3646361c,Activity,Meiji Tapınağı,1.0
activity:09275067,Activity,Ota Memorial Museum of Art,1.0
activity:a63d7aa0,Activity,Doğu Bahçeler,1.0
activity:efcaa3ad,Activity,Shibuya Sky,1.0
activity:31c25394,Activity,Miyashita Park,1.0
activity:ea1f049b,Activity,Mori Art Museum,1.0
activity:13232b50,Activity,National Art Centre,1.0
activity:a8f4121d,Activity,Museum of Contemporary Art,1.0
activity:43b6d26d,Activity,Chichu Sanat Müzesi,1.0
activity:40581644,Activity,Art House Project,1.0
activity:d0f3b3e6,Activity,Lee Ufan Müzesi,1.0
activity:ff44a86c,Activity,Benesse House,1.0
activity:c716e343,Activity,Teshima Sanat Müzesi,1.0
activity:4d03bd93,Activity,Les Archives du Coeur,1.0
trip:e536d1ce,Trip,LAPLAND TURU 19 – 24 OCAK,1.0
city:08716495,City,Jukkasjärvi,1.0
city:a199d80b,City,Harads,1.0
country:24b0fd39,Country,İsveç,1.0
hotel:9d5f8614,Hotel,ICEHOTEL,1.0
hotel:e5372220,Hotel,Kaamos Hotel,1.0
hotel:66cf235f,Hotel,Treehotel,1.0
activity:79dcb924,Activity,Gece Safarisi,1.0
activity:e237022e,Activity,Kar Mobili Safarisi,1.0
trip:ee119ccc,Trip,MISIR TURU 20 – 25 NİSAN 2024,1.0
city:e1aed712,City,Kahire,1.0
city:d555cec1,City,Aswan,1.0
city:b9b96f11,City,Luxor,1.0
country:006a24da,Country,Mısır,1.0
hotel:78449985,Hotel,Marriott Mena House Hotel,1.0
hotel:9ec58d6c,Hotel,Movenpick Sunray Nile Cruise,1.0
activity:299b975a,Activity,Giza Piramitleri,1.0
activity:3d0345f5,Activity,Büyük Giza Sfenksi,1.0
activity:f24c5e94,Activity,Mısır Müzesi,1.0
activity:f123119a,Activity,Khan El Khalili Çarşısı,1.0
