id:ID,name,season,date_start,date_end,:LABEL
204,Marataba Safari Lodge,,,,Hotel
205,JAPONYA TURU 19 HAZİRAN – 5 TEMMUZ 2025,,,,Trip
206,Tokyo,,,,City
207,Okayama,,,,City
208,Kyoto,,,,City
209,Naoshima,,,,City
210,Teshima,,,,City
211,Japonya,,,,Country
212,Meiji Tapınağı,,,,Activity
213,Ota Memorial Museum of Art,,,,Activity
214,Doğu Bahçeler,,,,Activity
215,Shibuya Sky,,,,Activity
216,Miyashita Park,,,,Activity
217,Mori Art Museum,,,,Activity
218,National Art Centre,,,,Activity
219,Museum of Contemporary Art,,,,Activity
220,Chichu Sanat Müzesi,,,,Activity
221,Art House Project,,,,Activity
222,Lee Ufan Müzesi,,,,Activity
223,Benesse House,,,,Activity
224,Teshima Sanat Müzesi,,,,Activity
225,Les Archives du Coeur,,,,Activity
226,Mitsui Garden Hotel Premier Jingu-Gaien,,,,Hotel
227,Uno Hotel,,,,Hotel
228,ACE Hotel Kyoto,,,,Hotel
229,LAPLAND TURU 19 – 24 OCAK,Kış,2025-01-19,2025-01-24,Trip
230,Jukkasjärvi,,,,City
231,Harads,,,,City
232,İsveç,,,,Country
233,Gece Safarisi,,,,Activity
234,Kar Mobili Safarisi,,,,Activity
235,ICEHOTEL,,,,Hotel
236,Kaamos Hotel,,,,Hotel
237,Treehotel,,,,Hotel
238,MISIR TURU 20 – 25 NİSAN 2024,İlkbahar,2024-04-20,2024-04-25,Trip
239,Kahire,,,,City
240,Aswan,,,,City
241,Luxor,,,,City
242,Mısır,,,,Country
243,Giza Piramitleri,,,,Activity
244,Büyük Giza Sfenksi,,,,Activity
245,Mısır Müzesi,,,,Activity
246,Khan El Khalili Çarşısı,,,,Activity
247,High Dam,,,,Activity
248,Philae Tapınağı,,,,Activity
249,Kom Ombo Tapınağı,,,,Activity
250,Edfu Tapınağı,,,,Activity
251,Luxor East Bank Gezisi,,,,Activity
252,Karnak Tapınağı,,,,Activity
253,Luxor Tapınağı,,,,Activity
254,Nil Nehri Sıcak Hava Balonu,,,,Activity
255,Marriott Mena House Hotel,,,,Hotel
256,Movenpick Sunray Nile Cruise,,,,Hotel
257,AMALFI TURU 20 – 23 HAZİRAN,Yaz,2025-06-20,2025-06-23,Trip
258,Amalfi,,,,City
259,Ravello,,,,City
260,Pompei,,,,City
261,Napoli,,,,City
262,Sorrento,,,,City
263,Ravello - Villa Cimbrone Bahçesi,,,,Activity
264,Ravello - Villa Rufolo,,,,Activity
265,Pompei Şehri Ziyareti,,,,Activity
266,Napoli Şehri Gezisi,,,,Activity
267,Duomo di Napoli,,,,Activity
268,Il Pio Monte della Misericordia,,,,Activity
269,Palazzo Reale,,,,Activity
270,Castel dell’Ovo,,,,Activity
271,Amalfi Kasabası Gezisi,,,,Activity
272,Cattedrale di Sant’Andrea,,,,Activity
273,Piazza Duomo,,,,Activity
274,Piazza dei Dogi,,,,Activity
275,Piazza dello Spirito Santo,,,,Activity
276,Sorrento Gezisi,,,,Activity
277,Piazza Tasso,,,,Activity
278,Basilica di Sant’Antonino,,,,Activity
279,Sedile Dominova,,,,Activity
280,Sorrento Peninsula Arkeoloji Müzesi,,,,Activity
281,Bottega Della Tarsia Lignea Müzesi,,,,Activity
282,Villa Piedimonte,,,,Hotel
283,Hotel Rufolo,,,,Hotel
284,LOIRE TURU 20 – 23 NİSAN,İlkbahar,2025-04-20,2025-04-23,Trip
285,Loire,,,,City
286,Tours,,,,City
287,Amboise,,,,City
288,Blois,,,,City
289,Cheverny Şatosu,,,,Activity
290,Villandry Şatosu,,,,Activity
291,Amboise Şatosu,,,,Activity
292,Château du Clos Lucé,,,,Activity
293,Château de Chenonceau,,,,Activity
294,Château de Blois,,,,Activity
295,Château de Chambord,,,,Activity
296,Loire Vadisi Balon Turu,,,,Activity
297,Tours Şehri Gezisi,,,,Activity
298,Avarum Restaurant,,,,Restaurant
299,Restaurante Amour Blanc,,,,Restaurant
300,BRUGGE & LOIRE TURU 20 – 23 NİSAN,İlkbahar,2025-04-20,2025-04-23,Trip
301,Brugge,,,,City
302,Gent,,,,City
303,Belçika,,,,Country
304,Brugge Gezisi,,,,Activity
305,Gent Gezisi,,,,Activity
306,Clos de Lucé,,,,Activity
307,Loire Vadisi Şarap Bağları,,,,Activity
308,Hotel De Orangerie,,,,Hotel
309,Hotel Van Cleef,,,,Hotel
310,Hotel Heritage Relais Chateau,,,,Hotel
311,Hotel Dukes' Palace,,,,Hotel
312,AMALFI TURU 20 – 24 HAZİRAN,Yaz,2025-06-20,2025-06-24,Trip
313,Tam Gün Tekne Gezisi,,,,Activity
314,SALZBURG TURU 20 – 25 ARALIK,Kış,2025-12-20,2025-12-25,Trip
315,Salzburg,,,,City
316,Hallstatt,,,,City
317,St Wolfgang,,,,City
318,Berchtesgaden,,,,City
319,Avusturya,,,,Country
320,Almanya,,,,Country
321,Mirabel Sarayı ve Bahçesi,,,,Activity
322,Mozart’ın Evi,,,,Activity
323,Residenzplatz & DomQuartier,,,,Activity
324,Noel Pazarları,,,,Activity
325,Hallstatt Gezisi,,,,Activity
326,Salzberg Dağı & Tuz Madeni Ziyareti,,,,Activity
