id:ID,name,season,date_start,date_end,:LABEL,id,label,price_usd,value
275.0,Piazza dello Spirito Santo,,,,Activity,,,,
276.0,Sorrento Gezisi,,,,Activity,,,,
277.0,Piazza Tasso,,,,Activity,,,,
278.0,Basilica di Sant’Antonino,,,,Activity,,,,
279.0,Sedile Dominova,,,,Activity,,,,
280.0,Sorrento Peninsula Arkeoloji Müzesi,,,,Activity,,,,
281.0,Bottega Della Tarsia Lignea Müzesi,,,,Activity,,,,
282.0,Villa Piedimonte,,,,Hotel,,,,
283.0,Hotel Rufolo,,,,Hotel,,,,
284.0,LOIRE TURU 20 – 23 NİSAN,İlkbahar,2025-04-20,2025-04-23,Trip,,,,
285.0,Loire,,,,City,,,,
286.0,Tours,,,,City,,,,
287.0,Amboise,,,,City,,,,
288.0,Blois,,,,City,,,,
289.0,Cheverny Şatosu,,,,Activity,,,,
290.0,Villandry Şatosu,,,,Activity,,,,
291.0,Amboise Şatosu,,,,Activity,,,,
292.0,Château du Clos Lucé,,,,Activity,,,,
293.0,Château de Chenonceau,,,,Activity,,,,
294.0,Château de Blois,,,,Activity,,,,
295.0,Château de Chambord,,,,Activity,,,,
296.0,Loire Vadisi Balon Turu,,,,Activity,,,,
297.0,Tours Şehri Gezisi,,,,Activity,,,,
298.0,Avarum Restaurant,,,,Restaurant,,,,
299.0,Restaurante Amour Blanc,,,,Restaurant,,,,
300.0,BRUGGE & LOIRE TURU 20 – 23 NİSAN,İlkbahar,2025-04-20,2025-04-23,Trip,,,,
301.0,Brugge,,,,City,,,,
302.0,Gent,,,,City,,,,
303.0,Belçika,,,,Country,,,,
304.0,Brugge Gezisi,,,,Activity,,,,
305.0,Gent Gezisi,,,,Activity,,,,
306.0,Clos de Lucé,,,,Activity,,,,
307.0,Loire Vadisi Şarap Bağları,,,,Activity,,,,
308.0,Hotel De Orangerie,,,,Hotel,,,,
309.0,Hotel Van Cleef,,,,Hotel,,,,
310.0,Hotel Heritage Relais Chateau,,,,Hotel,,,,
311.0,Hotel Dukes' Palace,,,,Hotel,,,,
312.0,AMALFI TURU 20 – 24 HAZİRAN,Yaz,2025-06-20,2025-06-24,Trip,,,,
313.0,Tam Gün Tekne Gezisi,,,,Activity,,,,
314.0,SALZBURG TURU 20 – 25 ARALIK,Kış,2025-12-20,2025-12-25,Trip,,,,
315.0,Salzburg,,,,City,,,,
316.0,Hallstatt,,,,City,,,,
317.0,St Wolfgang,,,,City,,,,
318.0,Berchtesgaden,,,,City,,,,
319.0,Avusturya,,,,Country,,,,
320.0,Almanya,,,,Country,,,,
321.0,Mirabel Sarayı ve Bahçesi,,,,Activity,,,,
322.0,Mozart’ın Evi,,,,Activity,,,,
323.0,Residenzplatz & DomQuartier,,,,Activity,,,,
324.0,Noel Pazarları,,,,Activity,,,,
325.0,Hallstatt Gezisi,,,,Activity,,,,
326.0,Salzberg Dağı & Tuz Madeni Ziyareti,,,,Activity,,,,
327.0,Atlı Kızak Turu (St Wolfgang),,,,Activity,,,,
328.0,Salzburg Kalesi,,,,Activity,,,,
329.0,Adolf Hitler’in Kartal Yuvası,,,,Activity,,,,
330.0,Salzbergwerk Berchtesgaden,,,,Activity,,,,
331.0,Grassl Likör Fabrikası,,,,Activity,,,,
332.0,Cafe Sacher Salzburg,,,,Restaurant,,,,
333.0,Restaurant Blaue Gans Salzburg Gasthaus,,,,Restaurant,,,,
334.0,Radisson Blu Hotel Altstadt,,,,Hotel,,,,
335.0,Hotel Goldener Hirsch,,,,Hotel,,,,
336.0,Hotel Bristol,,,,Hotel,,,,
337.0,BELGRAD TURU 21 – 23 EYLÜL,Sonbahar,2025-09-21,2025-09-23,Trip,,,,
338.0,Belgrad,,,,City,,,,
339.0,Karlofca,,,,City,,,,
340.0,Novi Sad,,,,City,,,,
341.0,Sırbistan,,,,Country,,,,
342.0,Belgrad Şehir Gezisi,,,,Activity,,,,
343.0,Aziz Sava Kilisesi,,,,Activity,,,,
344.0,Kalemegdan,,,,Activity,,,,
345.0,Sokullu Mehmet Paşa Çeşmesi,,,,Activity,,,,
346.0,Damat Ali Paşa Türbesi,,,,Activity,,,,
347.0,Fikirbayır,,,,Activity,,,,
348.0,Stambol Kapısı,,,,Activity,,,,
349.0,Tuna & Sava Nehirlerinin Birleşim Noktası,,,,Activity,,,,
350.0,Museum of Yugoslav History,,,,Activity,,,,
351.0,Royal Compound,,,,Activity,,,,
352.0,Nikola Tesla Müzesi,,,,Activity,,,,
353.0,Karlofca Gezisi,,,,Activity,,,,
